z_score,rvol,adx_threshold,tp_multiplier,final_pnl,win_rate,total_trades
3.0,2.0,30,2.0,-1.1729512311772794,34.64373464373464,814
3.0,2.0,30,1.5,-2.821132683896721,34.64373464373464,814
3.0,3.0,30,1.0,-3.0868388967020337,34.952766531713905,741
3.0,3.0,30,2.0,-9.140984460353934,33.37837837837838,740
3.0,2.5,25,1.0,-9.520165935847984,34.04004711425206,849
3.0,2.0,25,1.0,-10.724956261229067,34.177215189873415,869
3.0,3.0,30,1.5,-11.002841393118587,33.648648648648646,740
3.0,2.5,25,1.5,-15.82271316247936,33.33333333333333,849
2.5,2.0,20,2.0,-16.259235392662873,35.077186963979415,1166
3.0,2.0,25,1.5,-16.672232219778877,33.601841196777904,869
3.0,3.0,25,1.0,-18.264149765653073,33.252131546894034,821
2.5,2.5,20,2.0,-19.873589275629698,34.53237410071942,1112
3.0,2.5,25,2.0,-20.795760611481853,33.09776207302709,849
3.0,2.0,25,2.0,-21.42288486997866,33.3716915995397,869
2.5,2.0,20,1.5,-22.67955871807999,35.24871355060034,1166
3.0,3.0,25,1.5,-23.661976978105926,32.521315468940315,821
2.5,2.5,20,1.5,-27.120080050250607,34.622302158273385,1112
2.5,3.0,20,2.0,-28.177660239180582,33.904761904761905,1050
2.5,2.0,20,1.0,-28.571507362928173,35.42024013722127,1166
3.0,3.0,25,2.0,-29.431570666377723,32.03410475030451,821
4.0,2.5,20,2.0,-29.757187417614603,33.20987654320987,810
4.0,2.0,20,1.0,-29.757187417614603,33.20987654320987,810
4.0,2.0,20,1.5,-29.757187417614603,33.20987654320987,810
4.0,2.0,20,2.0,-29.757187417614603,33.20987654320987,810
4.0,3.0,20,2.0,-29.757187417614603,33.20987654320987,810
4.0,3.0,20,1.5,-29.757187417614603,33.20987654320987,810
4.0,3.0,20,1.0,-29.757187417614603,33.20987654320987,810
4.0,2.5,20,1.0,-29.757187417614603,33.20987654320987,810
4.0,2.5,20,1.5,-29.757187417614603,33.20987654320987,810
2.5,3.0,20,1.5,-31.006225314388516,34.19047619047619,1050
2.5,2.5,20,1.0,-31.757256314755864,34.89208633093525,1112
3.5,3.0,20,1.0,-33.72549954084252,33.21513002364066,846
2.5,3.0,20,1.0,-33.99523827926397,34.476190476190474,1050
3.5,3.0,20,1.5,-34.16485771863209,33.21513002364066,846
3.5,3.0,20,2.0,-34.32752898236522,33.09692671394799,846
3.5,2.5,20,1.0,-34.328735720666145,33.25471698113208,848
3.5,2.5,20,1.5,-34.76809389845572,33.25471698113208,848
3.5,2.5,20,2.0,-35.15666535577887,33.136792452830186,848
3.5,2.0,20,1.0,-35.19518603310314,33.1764705882353,850
3.5,2.0,20,1.5,-35.22123842576873,33.294117647058826,850
3.5,2.0,20,2.0,-35.69549522878833,33.1764705882353,850
3.0,2.0,20,1.0,-43.258536573570055,34.006054490413725,991
3.0,2.5,20,1.0,-45.38923911044648,33.57215967246673,977
3.0,2.0,20,1.5,-45.84512721628009,33.70332996972755,991
3.0,3.0,20,1.0,-46.3963961235869,33.36787564766839,965
3.0,2.5,20,1.5,-48.58891677626839,33.16274309109519,977
3.0,3.0,20,1.5,-48.98226322045204,32.95336787564767,965
3.0,2.0,20,2.0,-49.133738973122206,33.60242179616549,991
3.0,2.5,20,2.0,-52.26785916941151,33.0603889457523,977
3.0,3.0,20,2.0,-52.36886118222948,32.84974093264248,965
